词组,拼音,候选词位置
啊,a,1
按,a,2
阿,aa,1
阿爸,aab,1
阿爸,aaba,1
阿伯,aabo,1
阿,aae,1
阿,aaek,1
阿哥,aag,1
阿哥,aage,1
阿公,aags,1
啊哈,aah,1
啊哈,aaha,1
阿訇,aahs,1
锕,aaj,1
锕,aajk,1
阿姐,aajp,1
吖,aak,1
啊,aakk,1
嗄,aakw,1
吖,aaky,1
阿拉,aal,1
阿拉,aala,1
阿妹,aam,1
阿妈,aama,1
阿门,aamf,1
阿曼,aamj,1
阿妹,aamw,1
腌,aao,1
腌,aaod,1
阿婆,aap,1
阿婆,aapo,1
阿嚏,aati,1
AA制,aav,1
阿姨,aay,1
啊呀,aaya,1
阿姨,aayi,1
啊哟,aayo,1
腌臜,aaz,1
腌臜,aaza,1
安保,ab,1
按错,ac,1
按到,ad,1
挨饿,ae,1
安分,af,1
昂贵,ag,1
昂,ah,1
爱国,ahg,1
昂贵,ahgv,1
肮,aho,1
昂,ahoe,1
肮,ahoj,1
卬,ahp,1
卬,ahpe,1
昂起,ahq,1
昂起,ahqi,1
盎然,ahr,1
盎然,ahrj,1
盎司,ahs,1
盎司,ahsi,1
昂首,ahuz,1
昂着,ahve,1
盎,ahy,1
昂扬,ahyh,1
盎,ahym,1
肮脏,ahz,1
肮脏,ahzh,1
爱,ai,1
矮矮,aia,1
皑皑,aiai,1
癌,aib,1
癌,aibe,1
皑,aibj,1
癌变,aibm,1
艾,aic,1
艾草,aicc,1
爱才,aicd,1
挨次,aici,1
蔼,aicv,1
艾,aicx,1
挨打,aid,1
挨打,aida,1
哀悼,aidc,1
爱戴,aidd,1
隘,aie,1
挨饿,aiee,1
隘,aiem,1
叆,aiey,1
挨,aif,1
挨罚,aifa,1
捱,aift,1
爱抚,aifu,1
爱妃,aifw,1
爱国,aig,1
哀告,aigc,1
挨个,aige,1
爱岗,aigh,1
爱国,aigo,1
爱好,aih,1
爱好,aihc,1
爱河,aihe,1
爱恨,aihf,1
爱火,aiho,1
爱护,aihu,1
哀愁,aii,1
爱巢,aiic,1
爱称,aiig,1
爱吃,aiii,1
哀愁,aiiz,1
锿,aij,1
挨近,aijb,1
埃及,aiji,1
爱将,aijl,1
娭毑,aijp,1
艾灸,aijq,1
锿,aijy,1
唉,aik,1
爱看,aikj,1
嗌,aikm,1
爱哭,aiku,1
哎,aikx,1
嗳,aiky,1
隘口,aikz,1
矮了,aile,1
爱恋,ailm,1
爱侣,ailv,1
爱慕,aim,1
挨骂,aima,1
爱民,aimb,1
哀鸣,aimk,1
爱慕,aimu,1
暧昧,aimw,1
嫒,ain,1
爱你,aini,1
娭,ainu,1
嫒,ainy,1
暧,aio,1
暧,aioy,1
爱,aip,1
矮胖,aiph,1
挨批,aipi,1
爱,aipy,1
爱情,aiq,1
爱情,aiqk,1
矮墙,aiql,1
哀切,aiqp,1
哀求,aiqq,1
爱人,air,1
爱人,airf,1
欸,ais,1
爱死,aisi,1
欸,aisr,1
埃,ait,1
挨踢,aiti,1
哀叹,aitj,1
爱听,aitk,1
哀痛,aits,1
埃,aitu,1
矮,aiu,1
毐,aiua,1
碍,aiuc,1
爱神,aiuf,1
爱上,aiuh,1
碍事,aiui,1
矮,aiun,1
毐,aiuw,1
砹,aiux,1
碍手,aiuz,1
挨着,aiv,1
挨着,aive,1
癌症,aivg,1
哀,aiw,1
爱玩,aiwj,1
瑷,aiwy,1
爱心,aix,1
爱心,aixb,1
爱惜,aixi,1
矮小,aixn,1
霭,aiy,1
哎呀,aiya,1
艾叶,aiye,1
爱意,aiyi,1
碍眼,aiyj,1
哎哟,aiyo,1
哀怨,aiyr,1
爱用,aiys,1
哀乐,aiyt,1
碍于,aiyu,1
霭,aiyv,1
哎呦,aiyz,1
